Epochs,1loss,1cls_loss,1box_loss,2loss,2cls_loss,2box_loss,3loss,3cls_loss,3box_loss,4loss,4cls_loss,4box_loss
207,,,,,,,0.2424,0.1045,5.84E-04,,,
208,,,,,,,0.2437,0.1042,6.16E-04,,,
209,,,,,,,0.2573,0.1203,5.67E-04,,,
210,,,,,,,0.2617,0.1156,7.48E-04,,,
211,,,,,,,0.2244,0.0967,3.79E-04,,,
212,,,,,,,0.2494,0.1111,5.92E-04,,,
213,,,,,,,0.245,0.108,5.65E-04,,,
214,,,,,,,0.228,0.0945,4.96E-04,,,
215,,,,,,,0.2593,0.1197,6.18E-04,,,
216,,,,,,,0.2291,0.0984,4.41E-04,,,
217,,,,,,,0.2534,0.1107,6.78E-04,,,
218,,,,,,,0.2245,0.0931,4.54E-04,,,
219,,,,,,,0.2473,0.1071,6.31E-04,,,
220,,,,,,,0.2395,0.1103,4.10E-04,,,
221,,,,,,,0.249,0.1157,4.92E-04,,,
222,,,,,,,0.2577,0.119,6.00E-04,,,
223,,,,,,,0.2405,0.1114,4.09E-04,,,
224,,,,,,,0.2437,0.1104,4.92E-04,,,
225,,,,,,,0.248,0.1149,4.88E-04,,,
226,,,,,,,0.2893,0.1492,6.28E-04,,,
227,,,,,,,0.2537,0.1121,6.57E-04,,,
228,,,,,,,0.2269,0.0946,4.72E-04,,,
229,,,,,,,0.2134,0.0887,3.20E-04,,,
230,,,,,,,0.2235,0.0973,3.51E-04,,,
231,,,,,,,0.2484,0.1142,5.09E-04,,,
232,,,,,,,0.2122,0.0847,3.75E-04,,,
233,,,,,,,0.2238,0.0909,4.85E-04,,,
234,,,,,,,0.2336,0.1101,2.97E-04,,,
235,,,,,,,0.2529,0.1163,5.58E-04,,,
236,,,,,,,0.2195,0.0874,4.68E-04,,,
237,,,,,,,0.2837,0.1445,6.09E-04,,,
238,,,,,,,0.2203,0.0935,3.63E-04,,,
239,,,,,,,0.2502,0.1132,5.67E-04,,,
240,,,,,,,0.2165,0.0867,4.22E-04,,,
241,,,,,,,0.2196,0.0917,3.85E-04,,,
242,,,,,,,0.2198,0.091,4.03E-04,,,
243,,,,,,,0.2212,0.095,3.50E-04,,,
244,,,,,,,0.2398,0.1093,4.35E-04,,,
245,,,,,,,0.2349,0.1013,4.97E-04,,,
246,,,,,,,0.2148,0.0889,3.44E-04,,,
247,,,,,,,0.2533,0.11,6.92E-04,,,
248,,,,,,,0.23,0.0998,4.29E-04,,,
249,,,,,,,0.2102,0.0844,3.41E-04,,,
250,,,,,,,0.2402,0.0954,7.23E-04,,,
251,,,,,,,0.2308,0.1053,3.35E-04,,,
252,,,,,,,0.2371,0.0977,6.14E-04,,,
253,,,,,,,0.2477,0.1066,6.48E-04,,,
254,,,,,,,0.231,0.1028,3.91E-04,,,
255,,,,,,,0.2147,0.0883,3.56E-04,,,
256,,,,,,,0.2271,0.0988,3.91E-04,,,
257,,,,,,,0.2556,0.1106,7.28E-04,,,
258,,,,,,,0.2191,0.096,2.87E-04,,,
259,,,,,,,0.2542,0.1196,5.18E-04,,,
260,,,,,,,0.2481,0.112,5.49E-04,,,
261,,,,,,,0.2869,0.1447,6.70E-04,,,
262,,,,,,,0.2624,0.127,5.34E-04,,,
263,,,,,,,0.221,0.0959,3.28E-04,,,
264,,,,,,,0.2084,0.0789,4.15E-04,,,
265,,,,,,,0.226,0.0947,4.52E-04,,,
266,,,,,,,0.2462,0.1066,6.18E-04,,,
267,,,,,,,0.2214,0.0917,4.21E-04,,,
268,,,,,,,0.2584,0.1208,5.79E-04,,,
269,,,,,,,0.2242,0.0976,3.57E-04,,,
270,,,,,,,0.2298,0.0966,4.90E-04,,,
271,,,,,,,0.2216,0.0969,3.20E-04,,,
272,,,,,,,0.2218,0.0885,4.92E-04,,,
273,,,,,,,0.2471,0.1,7.68E-04,,,
274,,,,,,,0.1982,0.0751,2.88E-04,,,
275,,,,,,,0.2337,0.1037,4.26E-04,,,
